Living Area,Bathrooms,Bedrooms,Lot Size,Age,Fireplace,Price
1.982,1,3,2,133,0,14.2212
1.676,1.5,3,0.38,14,1,13.4865
1.694,2,3,0.96,15,1,11.8007
1.8,1,2,0.48,49,1,13.8297
2.088,1,3,1.84,29,1,12.947
1.456,2,3,0.98,10,0,20.6512
0.96,1.5,2,0.01,12,0,5.0709
1.464,1,2,0.11,87,0,10.8794
1.216,1,2,0.61,101,0,6.8353
1.632,1.5,3,0.23,14,0,12.3266
2.27,2.5,3,4.05,9,1,30.9808
1.804,2.5,3,0.43,0,1,15.7946
1.6,1.5,3,0.36,16,0,8.0248
1.46,2,2,0.18,17,0,13.5708
1.548,2,3,0.36,0,1,17.3723
1.59,2.5,3,0.42,0,1,14.051
1.17,1.5,4,3,26,0,12.2221
1.51,2.5,3,0.39,0,1,15.1917
2.299,2.5,4,0.8,6,1,23.5105
2.577,2.5,4,0.77,1,1,25.9999
2.328,2.5,4,0.85,10,1,21.1517
1.172,2.5,3,0.85,73,1,10.2068
1.554,1.5,3,4.87,103,0,12.844
1.242,2,3,0.72,30,1,11.5659
1.376,2,3,0.46,25,1,14.5583
1.107,1,3,0.46,43,1,11.6289
2.25,2.5,4,2.48,10,1,23.8792
2.472,2,4,0.62,183,0,22.1925
2.843,2.5,4,0.71,5,1,31.0696
1.4,1.5,3,1,35,1,13.9079
1.342,1,2,0.57,41,1,10.9578
0.813,1,2,0.39,68,0,6.5325
1.48,2.5,2,0.29,14,1,8.9893
1.392,1,2,0.24,17,0,8.7588
1.512,1.5,3,0.25,13,1,13.2311
1.512,1.5,3,0.05,13,1,13.1411
1.696,2.5,3,0.71,5,1,15.8863
1.595,2,3,0.22,6,1,13.049
1.48,1.5,3,0.07,14,0,8.8207
2.291,2.5,4,0.1,0,1,17.8767
1.391,2,3,0.04,12,0,14.8246
2.501,2.5,4,0.07,0,0,20.5073
1.662,2,3,0.5,0,0,18.5323
0.957,1,3,0.19,45,0,7.1904
1.48,1.5,3,0.1,14,1,8.2556
2.275,2.5,4,2.17,0,0,19.9684
1.44,1,3,2.12,32,1,12.2221
1.008,1,3,0.33,41,0,8.1762
1.48,2.5,2,0.07,14,1,8.4291
2.116,2.5,3,2.17,0,1,20.6512
1.1,1,3,0.2,93,1,10.5363
0.96,1,2,0.54,11,0,4.5004
1.228,1,2,0.31,53,0,6.2105
1.56,1.5,3,0.88,16,1,10.3508
2.164,2,3,0.69,183,1,15.7513
2.634,2.5,4,0.24,83,0,7.9893
1,1,3,0.52,91,0,8.877
0.912,1,2,0.46,14,0,11.5312
1.572,1.5,3,1.61,16,0,11.8952
1.7,1,3,0.46,25,1,10.3861
1.35,1.5,3,0.46,26,0,11.2649
1.416,1.5,3,0.37,11,0,12.7385
1.56,2,3,1,4,1,15.3129
1.572,1.5,3,0.46,7,0,14.3808
1.326,2,4,0.46,7,0,13.3067
1.989,2,3,1,247,1,22.6742
1.158,1.5,3,0.86,14,0,9.8652
1.272,1.5,3,0.34,1,0,11.1394
1.852,2,4,0.92,37,1,10.1418
2.308,3,2,0.45,5,0,13.9219
1.7,2,2,0.69,15,0,11.5248
1.628,1.5,2,0.32,30,1,9.9574
2.738,2.5,2,0.76,12,1,22.4818
1.292,1.5,3,0.34,25,0,10.8459
1.056,2,2,0.52,7,0,10.7919
1.328,1,4,0.19,103,0,4.5904
1.272,1.5,4,0.19,115,0,8.3617
1.944,2.5,3,2.13,0,0,15.4723
1.232,1,3,0.72,43,1,10.1258
1.164,2,3,0.52,5,0,11.8949
1.215,1.5,3,0.23,41,0,12.8717
1.486,2.5,3,0.38,0,0,13.6379
1.272,1.5,3,0.34,1,0,12.4367
1.064,1,3,0.13,95,0,6.2938
1.547,2,3,0.72,11,0,17.2016
1.148,1,3,0.35,7,0,10.6524
1.821,2.5,3,1,0,0,14.7412
1.056,1,3,0.81,27,0,11.1221
0.995,1,3,0.38,47,0,7.5862
1.176,2,3,0.64,5,0,10.9578
0.912,1,2,0.11,68,0,11.9166
1.5,1.5,4,0.58,208,1,18.5318
1.852,1,4,0.1,147,0,10.4749
1.214,1,3,0.14,103,0,4.4674
1.38,1.5,2,0.13,0,0,8.054
1.324,1.5,3,0.19,5,0,9.3773
1.218,1.5,3,1.43,0,1,10.9999
1.629,1,3,0.76,180,0,1.6858
1.053,1,3,1,41,1,11.4326
1.308,1,2,1.35,17,0,10.6524
1.344,1.5,2,4,15,1,16.0995
1.608,1,3,0.44,63,1,13.9079
3.285,2,5,0.42,233,0,5.9003
1.582,1.5,3,0.35,11,0,14.7425
1.642,2,3,0.4,11,1,14.4695
1.248,2,3,0.35,11,0,13.0229
1.411,1,3,0.38,48,1,11.984
1.593,1,3,1.8,63,1,12.9723
1.666,2.5,3,0.2,1,1,13.3595
1.471,2.5,3,0.08,4,0,12.6311
1.876,2.5,3,0.34,1,1,16.7693
1.486,1.5,3,0.1,16,0,10.3958
1.747,2.5,3,0.36,1,0,15.5488
1.512,2.5,3,0.36,18,1,15.2112
2.527,2.5,4,0.46,1,1,22.8619
1.666,2.5,3,0.19,0,0,13.9435
1.456,2,3,0.75,1,1,16.1923
3.015,2.5,4,0.46,1,1,26.1011
0.967,2,4,1.2,55,0,12.0115
1.72,2,4,0.72,31,1,15.3013
3.515,2.5,4,0.51,0,1,29.8923
2.815,2.5,4,0.48,1,1,27.1791
0.72,1,3,1,113,0,12.6498
3.001,2.5,5,0.66,0,1,26.7731
1.822,2.5,3,0.47,4,1,18.1979
1.666,2.5,3,0.2,1,1,14.5663
1.343,2.5,2,0.12,15,1,12.8273
1.144,1,2,0.18,16,1,10.6524
1.214,1.5,2,0.01,17,0,10.1997
1.888,1,3,0.47,18,1,11.0963
1.668,2,2,0.19,16,0,14.7625
1.486,1.5,3,0.1,16,0,11.6321
2.278,2.5,4,0.45,0,1,19.488
1.36,1,4,0.92,53,0,14.3294
3.504,2.5,5,0.9,0,1,38.7652
1.921,2,3,0.46,0,1,24.089
3.726,2.5,4,2.31,3,1,26.046
0.912,1.5,2,0.16,16,0,9.0354
2.079,2.5,3,0.44,11,0,19.2694
1.184,2,3,0.16,18,0,10.2801
0.908,1,2,0.16,19,0,7.9567
1.492,2.5,3,0.17,16,0,10.1708
2.011,2.5,4,0.99,12,1,16.2913
0.912,1.5,2,0.15,19,0,7.5606
2.195,2,3,0.45,1,1,17.5874
1.561,1.5,4,0.32,17,0,15.9313
2.656,2.5,4,0.41,1,1,20.7237
2.425,2.5,4,0.42,0,1,20.5397
0.908,1,2,0.15,19,0,7.9116
1.158,1.5,3,0.57,7,0,16.1923
1.334,1.5,3,0.77,7,0,13.3155
1.561,1.5,3,0.32,16,1,15.9786
1.68,2,3,0.12,15,0,10.2405
1.514,2,3,0.16,17,0,11.4514
1.656,1.5,3,0.33,17,1,16.2006
1.184,1.5,2,0.15,19,0,9.3815
2.648,2.5,4,0.43,0,1,18.114
1.092,1.5,3,0.35,33,0,13.7309
1.88,2,3,0.62,7,0,13.6551
1.592,2,3,0.16,16,0,10.7049
2.516,2,3,2.96,40,1,16.3524
2.31,3,4,0.56,31,1,18.114
3.076,3.5,4,0.92,0,1,31.712
0.908,1,2,0.16,19,0,7.7547
0.912,1.5,2,0.15,19,0,8.1762
1.68,1,4,0.45,27,0,14.7517
3.355,2.5,4,0.83,1,1,26.3226
1.886,2.5,3,0.43,16,1,16.3191
1.605,2.5,3,0.15,0,1,12.592
1.772,2,3,0.29,0,1,16.4623
2.044,2.5,3,0.37,16,1,16.1562
1.124,1,3,0.45,26,0,16.3781
3.192,3,4,0.11,2,1,23.5152
1.498,1.5,2,0.18,0,1,12.0639
1.092,1,5,0.33,72,0,12.3834
0.896,1,2,0,48,0,7.6342
1.572,1.5,4,0.39,41,0,7.9982
0.986,1,3,0.06,133,0,6.9152
2.087,2.5,3,0.56,0,1,7.1647
1.596,1.5,3,0.28,49,0,14.0765
0.908,1,2,0.16,17,0,9.1792
1.5,1.5,3,0.49,31,1,13.4865
1.719,1.5,3,0.53,25,1,13.9079
2.81,2.5,4,0.74,14,1,24.4443
1.806,2.5,3,1.59,0,1,16.2091
3.355,2.5,4,0.83,1,1,26.3226
1.76,1,4,0.52,37,1,12.601
1.896,1.5,3,0.42,17,1,17.3102
1.498,1.5,2,0.18,0,1,12.0639
1.248,2,3,0.75,37,0,13.9079
2.32,2.5,4,0.65,16,1,18.9654
1.132,1,2,0.16,25,1,8.9432
2.359,2.5,4,0.61,1,1,19.6317
3.476,2.5,4,0.34,20,1,20.9122
1.693,1.5,3,0.37,26,1,14.0602
1.585,1.5,3,0.95,16,1,17.0567
1.758,2,3,0.3,25,0,11.1875
2.524,2.5,4,0.48,6,1,22.5885
1.908,2.5,3,0.27,25,1,16.3652
1.476,1.5,3,0.22,24,1,11.9858
2.266,2.5,4,0.26,0,1,21.283
1.92,2,3,0.59,31,1,14.2907
1.73,2.5,3,0.66,1,1,19.3524
1.726,2,3,0.06,26,1,18.9836
1.644,2.5,4,0.3,20,1,15.4432
1.908,2,3,0.26,0,1,24.8204
2.475,2.5,4,0.59,35,1,17.5514
3.02,2.5,4,0.77,2,1,29.7024
2.31,2.5,5,0.45,36,1,17.5514
2.119,2.5,4,0.76,16,1,20.1616
2.056,1.5,4,0.42,35,1,17.2814
2.5,2.5,4,0.57,0,1,23.2894
2.576,2.5,5,0.69,34,1,16.9124
2.541,2.5,4,0.49,5,1,23.2219
2.445,2.5,4,0.38,18,1,24.752
2.185,2.5,3,0.74,14,1,22.4928
3.981,3,4,0.69,0,1,29.4133
2.577,2.5,4,0.29,0,1,22.8806
1.728,2.5,3,0.27,0,1,17.06
1.837,1.5,3,0.52,18,0,17.5784
2.5,2.5,4,0.5,0,1,22.9055
1.91,2.5,4,0.58,19,1,15.7513
2.958,2.5,4,0.92,0,1,30.875
2.564,2.5,4,0.59,30,1,20.2157
2.604,3,4,0.24,0,1,24.1885
2.906,2.5,4,0.62,2,1,29.738
1.48,1.5,3,0.11,17,0,11.9751
2.648,2.5,6,0.57,41,1,17.5321
1.872,1.5,4,0.56,32,1,15.3129
1.911,1.5,4,0.43,35,1,15.6679
1.302,1.5,2,0.06,16,0,10.2086
1.664,2,3,0.38,25,1,14.9933
2.512,2.5,4,0.04,0,1,22.8375
2.38,2.5,3,0.95,9,1,26.1872
1.887,2.5,4,0.56,27,1,16.1118
2.086,2.5,4,0.46,14,1,19.0856
1.554,2,2,0.53,20,1,14.0701
3.358,3.5,4,0.58,9,1,36.8396
2.394,2.5,4,0.6,0,1,25.0976
2.066,2.5,4,0.41,32,1,18.0032
3.111,2.5,4,0.5,3,1,33.2888
2.402,2.5,4,0.47,28,1,17.7452
2.327,2.5,4,0.29,10,1,21.9262
2.541,2.5,4,0.5,5,1,25.4327
1.894,2,3,0.34,0,1,19.7105
1.74,1.5,3,0.46,26,0,16.6888
1.48,1.5,3,0.18,18,0,11.5401
1.752,2.5,3,0.74,10,1,20.861
1.375,1.5,2,0.2,20,1,10.7892
1.918,2,3,0.3,29,1,14.3294
2.793,2.5,3,0.01,21,1,28.2373
2.619,2.5,4,0.4,0,1,23.9301
1.744,1.5,4,0.57,35,1,14.321
3.72,4,5,0.8,0,1,37.9678
2,2.5,3,0.73,22,0,22.1263
1.142,1.5,3,0.19,18,0,11.1264
2.612,2.5,4,0.56,23,1,25.2872
2.008,2.5,4,0.32,0,1,17.2315
2.035,2.5,4,0.43,35,1,18.2068
1.375,1.5,2,0.09,22,0,9.4405
0.822,1,2,0.56,173,0,2.613
3.597,2.5,4,0.51,0,1,30.8218
1.536,1,2,2.84,55,1,11.7164
1.91,2.5,4,0.37,18,1,17.3639
3.017,3.5,4,0.49,0,1,28.2289
1.971,2.5,4,0.49,7,1,19.8083
1.314,1.5,2,0.1,19,0,10.0306
1.944,2.5,4,0.26,25,1,18.1225
1.375,1.5,2,0.08,21,1,10.3677
1.14,1.5,2,0.08,18,0,8.6651
1.48,1.5,3,0.08,19,0,9.6934
2.11,2,3,0.92,52,1,13.065
0.972,1,3,0.36,40,0,10.5843
0.96,2,2,0.63,11,0,11.4513
2.262,2,4,0.46,21,0,16.0426
